1,1035
2,1035.869995
3,1040
4,1055.089966
5,1042.680054
6,1022.369995
7,1015.799988
8,1012.659973
9,995.940002
10,1001.5
11,1020.429993
12,1037.48999
13,1035.5
14,1039.630005
15,1046.119995
16,1045
17,1054.609985
18,1066.079956
19,1075.199951
20,1071.780029
21,1064.949951
22,1061.109985
23,1058.069946
24,1057.390015
25,1051.599976
26,1046.719971
27,1048.339966
28,1064.310059
29,1088
30,1094
31,1102.22998
32,1109.400024
33,1097.099976
34,1106.300049
35,1102.410034
36,1132.51001
37,1126.219971
38,1131.410034
39,1131.829956
40,1137.48999
41,1159.849976
42,1177.329956
43,1172.530029
44,1175.079956
45,1176.47998
46,1167.829956
47,1170.569946
48,1162.609985
49,1122
50,1090.599976
51,1027.180054
52,1081.540039
53,1055.410034
54,1017.25
55,1048
56,1045
57,1048.949951
58,1079.069946
59,1088.410034
60,1090.569946
61,1106.469971
